lat,lng
40.658525,22.799298
40.658459,22.799296
40.658354,22.799355
40.658187,22.799542
40.657899,22.79992
40.657445,22.800354
40.656817,22.800956
40.656757,22.801019
40.656715,22.801081
40.657342,22.805804
40.657168,22.805803
40.656951,22.804577
40.656879,22.804575
40.656723,22.804572
40.656553,22.804567
40.656389,22.804563
40.656257,22.80456
40.657116,22.803215
40.657113,22.803203
40.657109,22.803193
40.657104,22.803185
40.657098,22.803178
40.65709,22.803172
40.657081,22.803169
40.656886,22.803168
40.656695,22.803168
40.656686,22.803172
40.656679,22.803177
40.656673,22.803184
40.656668,22.803192
40.656664,22.803201
40.656661,22.803213
40.656661,22.80347
40.656665,22.803484
40.65667,22.803494
40.656677,22.803502
40.656685,22.803508
40.656695,22.803513
40.657077,22.803524
40.65709,22.80351
40.657098,22.803504
40.657105,22.803497
40.65711,22.803488
40.657114,22.803477
40.657116,22.803466
40.657116,22.8033
40.657213,22.803699
40.657216,22.803551
40.657221,22.803305
40.656718,22.805035
40.656878,22.805037
40.657873,22.803176
40.657871,22.803309
40.657869,22.803432
40.657866,22.803666
40.657854,22.804547
40.656382,22.80503
40.657751,22.803663
40.657657,22.803669
40.65752,22.803696
40.657367,22.803716
40.657266,22.803712
40.658683,22.803325
40.658249,22.803323
40.657655,22.803313
40.658251,22.80336
40.658251,22.803369
40.65825,22.803378
40.658246,22.803386
40.658239,22.803392
40.658232,22.803394
40.656645,22.803562
40.656634,22.803593
40.656574,22.803619
40.65584,22.803614
40.655735,22.803614
40.657144,22.803551
40.657045,22.803526
40.657048,22.803693
40.657161,22.806069
40.657173,22.805625
40.65718,22.805375
40.657191,22.804995
40.655745,22.801974
40.655728,22.804402
40.658084,22.801779
40.658079,22.802211
40.658083,22.802228
40.658089,22.802242
40.658097,22.802256
40.658107,22.802267
40.658118,22.802275
40.65813,22.802281
40.658143,22.802284
40.65869,22.802269
40.655666,22.802067
40.65562,22.802114
40.655231,22.802544
40.655212,22.802575
40.655191,22.802609
40.655168,22.802664
40.655155,22.802723
40.655122,22.803504
40.655105,22.803893
40.655095,22.804261
40.655079,22.804582
40.655068,22.804765
40.655055,22.804928
40.655042,22.805125
40.655032,22.805378
40.656224,22.805365
40.655709,22.805354
40.658666,22.80189
40.658666,22.801864
40.658665,22.801842
40.65866,22.801822
40.65865,22.801804
40.658637,22.801796
40.658623,22.801789
40.658604,22.801784
40.65858,22.801782
40.658228,22.801776
40.65867,22.805386
40.658675,22.804534
40.658686,22.8029
40.652598,22.801264
40.652683,22.801196
40.652723,22.801173
40.652767,22.801157
40.652811,22.801156
40.653321,22.801236
40.653679,22.8012
40.653772,22.801205
40.654047,22.801199
40.654074,22.8012
40.654102,22.801191
40.654162,22.801142
40.654173,22.801114
40.654175,22.801077
40.658034,22.804551
40.657998,22.804551
40.656307,22.805366
40.657071,22.805373
40.657373,22.805375
40.655789,22.804621
40.655831,22.804851
40.655887,22.80503
40.655988,22.805175
40.657045,22.801683
40.657041,22.801811
40.656007,22.801802
40.655937,22.801812
40.655887,22.801834
40.655845,22.801868
40.655786,22.801922
40.656239,22.804574
40.656223,22.804593
40.656211,22.804616
40.656202,22.804641
40.656198,22.804669
40.656204,22.805027